"region" "treatment" "mean_cnt" "sd_cnt" "se_cnt"
"1" "Apex" "Deaf" 564.262880702359 179.71339306039 73.3676854903645
"2" "Apex" "Hearing" 359.283241909605 116.892318242155 47.7210890907178
"3" "Base" "Deaf" 569.883444355975 179.35278083459 67.7889792908853
"4" "Base" "Hearing" 332.320756157942 169.609550313851 69.2428089619741
"5" "Mid1" "Deaf" 574.837861105364 191.254276747607 72.2873219216704
"6" "Mid1" "Hearing" 372.028093150873 96.0133721006217 39.1972950217496
"7" "Mid2" "Deaf" 713.474440719038 193.754113825699 73.2321715255001
"8" "Mid2" "Hearing" 352.986780418184 206.424114875484 84.2722920084323
"9" "Total" "Deaf" 606.972228169509 159.221348534609 60.1800130907019
"10" "Total" "Hearing" 336.169070451827 81.5523676286092 33.2936146676602
